 "AspectDroid: Android app analysis system"  $ "Ali-Gombe A., Ahmed I., Richard G.G., III, Roussev V."  $ reviewer2 $ (1,)
 "AspectDroid: Android app analysis system"  $ "Ali-Gombe A., Ahmed I., Richard G.G., III, Roussev V."  $ reviewer4 $ (0,)

 "Authentication and authorization considerations for a multi-tenant service"  $ "Heiland R., Koranda S., Marru S., Pierce M., Welch V."  $ reviewer2 $ (1,)
 "Authentication and authorization considerations for a multi-tenant service"  $ "Heiland R., Koranda S., Marru S., Pierce M., Welch V."  $ reviewer4 $ (0,)

 "AutoQUEST - Automated quality engineering of event-driven software"  $ "Herbold S., Harms P."  $ reviewer2 $ (1,)
 "AutoQUEST - Automated quality engineering of event-driven software"  $ "Herbold S., Harms P."  $ reviewer3 $ ()

 "Azure BOT: A framework for bag-of-tasks applications on the azure cloud platform"  $ "Agarwal D., Prasad S.K."  $ reviewer2 $ (1,)
 "Azure BOT: A framework for bag-of-tasks applications on the azure cloud platform"  $ "Agarwal D., Prasad S.K."  $ reviewer3 $ (3,)

 "BCC: Enhancing code completion for better API usability"  $ "Pletcher D.M., Hou D."  $ reviewer2 $ ()
 "BCC: Enhancing code completion for better API usability"  $ "Pletcher D.M., Hou D."  $ reviewer4 $ (1,)

 "Best practices for scalable power measurement and control"  $ "Walker S., McFadden M."  $ reviewer1 $ (1,)
 "Best practices for scalable power measurement and control"  $ "Walker S., McFadden M."  $ reviewer3 $ ()

 "Beyond programmable shading (parts I and II)"  $ "Lefohn A., Houston M., Andersson J., Assarsson U., Everitt C., Fatahalian K., Foley T., Hensley J., Lalonde P., Luebke D."  $ reviewer1 $ (1,)
 "Beyond programmable shading (parts I and II)"  $ "Lefohn A., Houston M., Andersson J., Assarsson U., Everitt C., Fatahalian K., Foley T., Hensley J., Lalonde P., Luebke D."  $ reviewer3 $ (2,)

 "Bio-CAD reverse engineering of free-form surfaces by planar contours"  $ "Ameddah H., Assas M."  $ reviewer1 $ (1,)
 "Bio-CAD reverse engineering of free-form surfaces by planar contours"  $ "Ameddah H., Assas M."  $ reviewer4 $ (0,)

 "Building more usable APIs"  $ "McLellan S.G., Roesler A.W., Tempest J.T., Spinuzzi C.I."  $ reviewer2 $ (1,)
 "Building more usable APIs"  $ "McLellan S.G., Roesler A.W., Tempest J.T., Spinuzzi C.I."  $ reviewer3 $ ()

 "Bus search: Development and evaluation of performance and usability of mobile application for blind or visually impaired"  $ "Viyanon W."  $ reviewer2 $ (1,)
 "Bus search: Development and evaluation of performance and usability of mobile application for blind or visually impaired"  $ "Viyanon W."  $ reviewer4 $ (0,)

 "CEUR Workshop Proceedings"  $ "[No author name available]"  $ reviewer1 $ (1,)
 "CEUR Workshop Proceedings"  $ "[No author name available]"  $ reviewer4 $ (2,)

 "CSN: The conceptually manageable sensor network"  $ "Joe W., Lee J., Jeong K."  $ reviewer2 $ (1,)
 "CSN: The conceptually manageable sensor network"  $ "Joe W., Lee J., Jeong K."  $ reviewer3 $ ()

 "Causeway: Support for controlling and analyzing the execution of multi-tier applications"  $ "Chanda A., Elmeleegy K., Cox A.L., Zwaenepoel W."  $ reviewer2 $ (1,)
 "Causeway: Support for controlling and analyzing the execution of multi-tier applications"  $ "Chanda A., Elmeleegy K., Cox A.L., Zwaenepoel W."  $ reviewer4 $ (0,)

 "Cloud interoperability service architecture for education environments"  $ "Rizzardini R.H."  $ reviewer1 $ (1,)
 "Cloud interoperability service architecture for education environments"  $ "Rizzardini R.H."  $ reviewer4 $ (0,)

 "CloudSylla: Detecting suspicious system calls in the cloud"  $ "Kührer M., Hoffmann J., Holz T."  $ reviewer2 $ (1,)
 "CloudSylla: Detecting suspicious system calls in the cloud"  $ "Kührer M., Hoffmann J., Holz T."  $ reviewer4 $ (0,)

 "CoDocent: Support API usage with code example and API documentation"  $ "Wu Y.-C., Mar L.W., Jiau H.C."  $ reviewer1 $ (1,)
 "CoDocent: Support API usage with code example and API documentation"  $ "Wu Y.-C., Mar L.W., Jiau H.C."  $ reviewer4 $ ()

 "Comparison of Google maps API and openlayers for WebGIS development"  $ "Huang P.-Y., Jan J.-F."  $ reviewer1 $ (1,)
 "Comparison of Google maps API and openlayers for WebGIS development"  $ "Huang P.-Y., Jan J.-F."  $ reviewer3 $ (2,)

 "Connichiwa - A framework for cross-device web applications"  $ "Schreiner M., Rädle R., Jetter H.-C., Reiterer H."  $ reviewer2 $ ()
